,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
52,52.0,126.0,126.0,0.0,100.0,0.0,6571.0,6222.0,349.0,50.66362674049345,98.03370786516854,47.37008112467509,17.828080229226362,349.0,6059.0,7.0,6222.0,0.5070823771464746,0.49291762285352536,0.5066362674049345,17.828080229226362,0.9803370786516854,0.49336373259506555,0.053112159488662304,0.10076512198642991
53,53.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,6698.0,6348.0,350.0,51.689601823955705,98.31460674157303,46.625004917617325,18.13714285714286,350.0,5933.0,6.0,6348.0,0.4971907889530743,0.5028092110469257,0.516896018239557,18.13714285714286,0.9831460674157303,0.48310398176044295,0.05225440429979098,0.09923447689254324
54,54.0,126.0,126.0,0.0,100.0,0.0,6824.0,6474.0,350.0,52.71557690741796,98.31460674157303,45.59902983415507,18.497142857142858,350.0,5807.0,6.0,6474.0,0.48722006805412676,0.5127799319458732,0.5271557690741796,18.497142857142858,0.9831460674157303,0.4728442309258204,0.05128956623681125,0.09749303621169916
55,55.0,126.0,126.0,0.0,100.0,0.0,6950.0,6600.0,350.0,53.74155199088022,98.31460674157303,44.57305475069281,18.857142857142858,350.0,5681.0,6.0,6600.0,0.47724934715517925,0.5227506528448208,0.5374155199088022,18.857142857142858,0.9831460674157303,0.4625844800911978,0.050359712230215826,0.09581166164796058
56,56.0,127.0,127.0,0.0,100.0,0.0,7077.0,6727.0,350.0,54.775669733735036,98.31460674157303,43.538937007837994,19.22,350.0,5554.0,6.0,6727.0,0.4671994935506845,0.5328005064493155,0.5477566973373503,19.22,0.9831460674157303,0.4522433026626496,0.04945598417408507,0.09417462666487288
57,57.0,126.0,126.0,0.0,100.0,0.0,7203.0,6853.0,350.0,55.8016448171973,98.31460674157303,42.51296192437573,19.58,350.0,5428.0,6.0,6853.0,0.45722877265173695,0.542771227348263,0.5580164481719729,19.58,0.9831460674157303,0.441983551828027,0.04859086491739553,0.0926048419103056
58,58.0,126.0,126.0,0.0,100.0,0.0,7329.0,6979.0,350.0,56.827619900659556,98.31460674157303,41.486986840913474,19.94,350.0,5302.0,6.0,6979.0,0.44725805175278943,0.5527419482472106,0.5682761990065955,19.94,0.9831460674157303,0.43172380099340446,0.04775549188156638,0.0910865322055953
59,59.0,127.0,127.0,0.0,100.0,0.0,7456.0,7106.0,350.0,57.861737643514374,98.31460674157303,40.452869098058656,20.302857142857142,350.0,5175.0,6.0,7106.0,0.4372081981482947,0.5627918018517053,0.5786173764351438,20.302857142857142,0.9831460674157303,0.4213826235648563,0.04694206008583691,0.08960573476702509
60,60.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,7582.0,7231.0,351.0,58.879570067584076,98.59550561797752,39.715935550393446,20.6011396011396,351.0,5050.0,5.0,7231.0,0.42739574266044156,0.5726042573395584,0.5887957006758407,20.6011396011396,0.9859550561797753,0.41120429932415925,0.04629385386441572,0.08843537414965986
61,61.0,127.0,127.0,0.0,100.0,0.0,7709.0,7358.0,351.0,59.91368781043889,98.59550561797752,38.681817807538636,20.962962962962962,351.0,4923.0,5.0,7358.0,0.41734588905594683,0.5826541109440532,0.5991368781043889,20.962962962962962,0.9859550561797753,0.40086312189561113,0.045531197301854974,0.087042777433354
62,62.0,126.0,126.0,0.0,100.0,0.0,7835.0,7484.0,351.0,60.93966289390115,98.59550561797752,37.65584272407637,21.321937321937323,351.0,4797.0,5.0,7484.0,0.4073751681569993,0.5926248318430007,0.6093966289390115,21.321937321937323,0.9859550561797753,0.3906033710609885,0.04479897894065093,0.08570382126724453
63,63.0,126.0,126.0,0.0,100.0,0.0,7961.0,7610.0,351.0,61.96563797736341,98.59550561797752,36.629867640614115,21.68091168091168,351.0,4671.0,5.0,7610.0,0.39740444725805174,0.6025955527419482,0.6196563797736341,21.68091168091168,0.9859550561797753,0.3803436202263659,0.044089938449943473,0.08440543465191776
64,64.0,127.0,127.0,0.0,100.0,0.0,8088.0,7737.0,351.0,62.999755720218225,98.59550561797752,35.5957498977593,22.042735042735043,351.0,4544.0,5.0,7737.0,0.387354593653557,0.6126454063464429,0.6299975572021822,22.042735042735043,0.9859550561797753,0.37000244279781774,0.043397626112759644,0.0831359545239223
65,65.0,126.0,126.0,0.0,100.0,0.0,8214.0,7863.0,351.0,64.02573080368049,98.59550561797752,34.569774814297034,22.4017094017094,351.0,4418.0,5.0,7863.0,0.3773838727546095,0.6226161272453905,0.6402573080368048,22.4017094017094,0.9859550561797753,0.3597426919631952,0.04273192111029949,0.08191365227537922
66,66.0,126.0,126.0,0.0,100.0,0.0,8340.0,7989.0,351.0,65.05170588714275,98.59550561797752,33.54379973083478,22.76068376068376,351.0,4292.0,5.0,7989.0,0.3674131518556619,0.6325868481443381,0.6505170588714274,22.76068376068376,0.9859550561797753,0.3494829411285726,0.0420863309352518,0.08072677092916283
67,67.0,127.0,127.0,0.0,100.0,0.0,8467.0,8116.0,351.0,66.08582362999756,98.59550561797752,32.50968198797996,23.122507122507123,351.0,4165.0,5.0,8116.0,0.3573632982511672,0.6426367017488328,0.6608582362999755,23.122507122507123,0.9859550561797753,0.3391417637000244,0.04145506082437699,0.07956477388643318
68,68.0,126.0,126.0,0.0,100.0,0.0,8593.0,8242.0,351.0,67.11179871345982,98.59550561797752,31.483706904517703,23.48148148148148,351.0,4039.0,5.0,8242.0,0.3473925773522197,0.6526074226477804,0.6711179871345981,23.48148148148148,0.9859550561797753,0.32888201286540186,0.04084720121028744,0.07844451894066375
69,69.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,8720.0,8368.0,352.0,68.13777379692208,98.87640449438203,30.738630697459953,23.772727272727273,352.0,3913.0,4.0,8368.0,0.3375009891588193,0.6624990108411807,0.6813777379692207,23.772727272727273,0.9887640449438202,0.31862226203077926,0.04036697247706422,0.07756721022476863
70,70.0,126.0,126.0,0.0,100.0,0.0,8846.0,8494.0,352.0,69.16374888038433,98.87640449438203,29.712655613997697,24.130681818181817,352.0,3787.0,4.0,8494.0,0.3275302682598718,0.6724697317401281,0.6916374888038433,24.130681818181817,0.9887640449438202,0.30836251119615665,0.03979199638254578,0.07650510758530756
71,71.0,126.0,126.0,0.0,100.0,0.0,8972.0,8620.0,352.0,70.18972396384659,98.87640449438203,28.68668053053544,24.488636363636363,352.0,3661.0,4.0,8620.0,0.3175595473609243,0.6824404526390757,0.701897239638466,24.488636363636363,0.9887640449438202,0.2981027603615341,0.03923316986179224,0.07547169811320754
72,72.0,127.0,127.0,0.0,100.0,0.0,9099.0,8747.0,352.0,71.2238417067014,98.87640449438203,27.652562787680623,24.849431818181817,352.0,3534.0,4.0,8747.0,0.30750969375642956,0.6924903062435704,0.7122384170670141,24.849431818181817,0.9887640449438202,0.2877615829329859,0.03868556984283987,0.07445795875198308
