,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
79,79.0,980.0,974.0,6.0,99.38775510204081,0.6122448979591866,77420.0,77314.0,135.0,0.009310146976426193,0.6122448979591837,0.006161190965092403,-7.34257503222291,-6.924632177995786,-6.141652767579902,543.6055065461492
80,80.0,981.0,974.0,7.0,99.28644240570846,0.7135575942915438,78480.0,78288.0,142.0,0.009643588079932586,0.7135575942915392,0.007187885010266941,-7.1202169554531585,-6.924632177995786,-6.087741655343753,544.6837287908722
81,81.0,980.0,969.0,11.0,98.87755102040816,1.1224489795918373,79380.0,79257.0,153.0,0.01000848084347342,1.1224489795918366,0.011352941176470588,-6.460790088644346,-6.460790088644346,-6.031166342140495,545.8152350549374
82,82.0,980.0,968.0,12.0,98.77551020408163,1.2244897959183731,80360.0,80225.0,165.0,0.010376482305957163,1.2244897959183674,0.012397727272727272,-6.333780516975777,-6.333780516975777,-5.976464332834011,546.909275241067
83,83.0,981.0,972.0,9.0,99.08256880733946,0.9174311926605441,81423.0,81197.0,174.0,0.010802279464769403,0.9174311926605505,0.00926028806584362,-6.754727211619346,-6.333780516975777,-5.9158751455907295,548.1210589859327
84,84.0,980.0,966.0,14.0,98.57142857142857,1.4285714285714306,82320.0,82163.0,188.0,0.01128926456512578,1.4285714285714286,0.014493788819875775,-6.108421410812561,-6.108421410812561,-5.849821016537645,549.4421415669943
85,85.0,980.0,967.0,13.0,98.6734693877551,1.3265306122448948,83300.0,83130.0,201.0,0.01188120020957508,1.3265306122448979,0.013444674250258531,-6.216821389062252,-6.108421410812561,-5.773731762301266,550.9639266517219
86,86.0,981.0,973.0,8.0,99.18450560652396,0.8154943934760439,84366.0,84103.0,209.0,0.012602211016375155,0.8154943934760448,0.008223021582733813,-6.926115669171116,-6.108421410812561,-5.686589815626283,552.7067655852215
87,87.0,980.0,969.0,11.0,98.87755102040816,1.1224489795918373,85260.0,85072.0,220.0,0.01342687378097176,1.1224489795918366,0.011352941176470588,-6.460790088644346,-6.108421410812561,-5.593465771280365,554.56924647214
88,88.0,981.0,966.0,15.0,98.47094801223241,1.5290519877675877,86328.0,86038.0,235.0,0.014466646371100358,1.529051987767584,0.015528985507246375,-6.008892606763709,-6.008892606763709,-5.484643137949014,556.745699138767
89,89.0,980.0,965.0,15.0,98.46938775510205,1.5306122448979522,87220.0,87003.0,250.0,0.015776879967496237,1.530612244897959,0.015545077720207254,-6.0073983600833785,-6.0073983600833785,-5.359066402538248,559.2572338469823
90,90.0,980.0,963.0,17.0,98.26530612244898,1.7346938775510239,88200.0,87966.0,267.0,0.017370158741699795,1.7346938775510203,0.017654205607476638,-5.823844284674864,-5.823844284674864,-5.2207238934208045,562.0240840293311
91,91.0,981.0,959.0,22.0,97.75739041794088,2.242609582059117,89271.0,88925.0,289.0,0.019462587848131947,2.2426095820591234,0.02294160583941606,-5.4458898108238625,-5.4458898108238625,-5.058325580517382,565.2720502873996
92,92.0,980.0,959.0,21.0,97.85714285714286,2.142857142857139,90160.0,89884.0,310.0,0.022179077702729002,2.142857142857143,0.021898852971845673,-5.513000884111175,-5.4458898108238625,-4.8730274391337485,568.9780131150723
93,93.0,980.0,936.0,44.0,95.51020408163265,4.489795918367349,91140.0,90820.0,354.0,0.02636541692485383,4.489795918367347,0.04700961538461538,-4.410900312795042,-4.410900312795042,-4.6293376284209,573.8518093293293
94,94.0,981.0,945.0,36.0,96.3302752293578,3.6697247706422047,92214.0,91765.0,390.0,0.03265166198449779,3.669724770642202,0.038096296296296295,-4.714205443360461,-4.410900312795042,-4.329413994548909,579.8502820067691
95,95.0,980.0,928.0,52.0,94.6938775510204,5.306122448979593,93100.0,92693.0,442.0,0.04199382131504136,5.3061224489795915,0.05603556034482758,-4.157513533117846,-4.157513533117846,-3.977048892477071,586.8975840482059
96,96.0,981.0,916.0,65.0,93.37410805300713,6.625891946992866,94176.0,93609.0,507.0,0.05798325687270821,6.625891946992865,0.0709617903930131,-3.816813779930899,-3.816813779930899,-3.523202569388135,595.9745105099846
97,97.0,980.0,851.0,129.0,86.83673469387755,13.163265306122454,95060.0,94460.0,636.0,0.09537156024639247,13.16326530612245,0.15158754406580494,-2.721776882623568,-2.721776882623568,-2.808806952293359,610.26242285188
98,98.0,980.0,702.0,278.0,71.63265306122449,28.367346938775512,96040.0,95162.0,914.0,0.21801061646435851,28.367346938775512,0.3960128205128205,-1.3363809580398802,-1.3363809580398802,-1.5183636186317633,636.071289525112
99,99.0,981.0,294.0,687.0,29.96941896024465,70.03058103975535,97119.0,95456.0,1601.0,0.610536118841546,70.03058103975535,2.336738095238095,1.2244960439729888,1.2244960439729888,0.8863355231593743,684.1652723609348
100,100.0,980.0,89.0,891.0,9.081632653061224,90.91836734693878,98000.0,95545.0,2492.0,0.8980845770741841,90.91836734693878,10.011247191011236,3.3235498097409693,3.3235498097409693,4.94600386695379,765.358639236823
